geneSymbol,No Dox,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
RNF157-AS1,0.22602742,0.163033133,0.291862433,0.270047733,0.043728867,0.0735318,0.124159367,0.0767806
OR1AC1P,0,0,0,0,0,0,0,0
CTD-2540B15.9,0,0,0,0,0,0,0,0
RP11-332H18.5,0,0,0,0,0,0,0,0.0238687
HMGB3P27,0,0,0,0,0,0,0,0
AC011518.2,0,0,0,0,0,0,0,0
RP11-146N18.1,0,0,0,0,0,0,0,0
AD000091.3,0,0,0,0,0,0,0,0
RP11-53B2.3,0,0,0,0,0,0,0,0
RP11-15K2.2,0,0,0,0.018526267,0,0,0,0
AC005954.3,0.084531667,0,0.096301,0.192275,0.138073,0,0.098479,0.166179333
AC005262.3,0.0225058,0.027073933,0.052632333,0.1107409,0.026009,0.0264127,0.027902167,0
RP11-322E11.6,0.463196667,0.399947333,0.163937333,0.366342,0.193981333,0.350596408,0.354455333,0.311715667
CTB-31O20.8,0,0,0,0,0,0,0,0
CTD-3162L10.5,0,0,0,0,0,0,0,0
RP11-677O4.6,2.532606667,3.091923333,5.013603333,3.611433333,4.120306667,4.15866,4.037816667,4.248523333
AC067968.3,0.014962367,0.092672567,0.133908367,0.15466,0.118331567,0.055348367,0.035623,0.083645
AC006116.14,0.0660548,0.040666667,0.108854667,0.163112667,0.124548,0.119096,0.129190667,0.184308
RP11-383D22.1,0,0,0,0,0,0,0,0
CTC-548K16.1,0.600802667,0.76318,0.641989,0.57927,0.532167667,0.780421667,0.665844667,0.460831667
AC005777.3,0,0,0,0,0,0,0,0
CTC-550B14.6,0.016913232,1.88634E-12,2.10567E-14,0.019518233,3.17231E-18,6.56943E-14,7.07343E-57,0.0440909
RP11-411B10.2,0,0,0,0,0,0,0,0
hsa-mir-2117,0.055154633,0,0.080738333,0,0,0.0445417,0,0.0195315
CTD-2528L19.6,0.55097,0.755799,0.940930667,0.734008667,0.732341333,1.038566333,1.487686667,1.046384667
CTBP2P3,0,0,0,0,0,0,0.0054413,0
OR1M4P,0,0,0,0,0,0,0,0
TPMTP1,0.010863267,0,0.010726933,0.0654372,0.0093685,0.0250453,0.0135685,0.035879567
CTB-54O9.9,0.192695463,0.223077933,0.041816,0.0314805,0.116848,0.137159,0.117511333,0.191960333
RNU6-2,0,0,0,0,0,0,0,0
AC005391.2,0,0,0,0,0,0,0,0
RP11-1072C15.4,0.204444667,0.192544,0.252413,0.218056,0.177837667,0.128817567,0.107094033,0.179081
AC005943.5,0.185952333,0.352002667,0.223289333,0.358026333,0.234211,0.45358,0.384187667,0.23646
RP11-815J4.4,0,0,0,0,0,0,0,0
AC084219.3,0.005502827,0.003736467,0,0,0.0036316,0.003668767,0.002983173,0
AC005336.1,0,0,0,0,0,0,0,0
RP11-78A19.3,0.380699667,0.503619,0.171384333,0.945628,0.536530333,0.55793,0.874241667,0.406591667
RP11-527L4.5,0,0,0,0,0,0,0,0.0125328
RP11-687F6.1,0.080522633,0.056513067,0.065681567,0.057204033,0.078264833,0.1905,0.129490633,0.0940143
RP11-318A15.7,5.0121E-158,4.32723E-92,1.1111E-88,2.4524E-172,2.78077E-67,4.8279E-39,1.34923E-43,2.04805E-90
CTB-55O6.12,0.383846,0.655389667,0.611746479,0.927476333,0.962608555,0.9886972,0.877787,1.080570672
CALM2P1,0,0,0,0,0.027450767,0,0,0
CTC-260F20.5,0.259415,0.227760333,0.1307922,0.040486,0.0259905,0.037403,0.108544733,0.131316667
RP11-397A16.3,0,0,0,0,0,0,0,0
ZFP112,2.59595E-12,1.67959E-26,1.59141E-09,8.45363E-09,2.37067E-16,0.030817733,2.97009E-62,3.0423E-19
CTC-510F12.4,0,0,0.0148921,0,0,0,0.042231233,0.0133438
RP11-879F14.1,0.047303811,0.017497877,8.53273E-06,0.031389001,2.06522E-06,0.041771735,0.075962691,0.038641572
CTB-179K24.3,0.337096,0.150931667,0.303439667,0.562331,0.522596667,0.701335667,0.766144667,0.625229333
RP11-756J15.3,0,0,0,0,0,0,0,0
CTC-260F20.7,0,0.092279333,0.088329,0,0.084593,0,0.040432333,0
ZNF763,0.084204402,0.050803133,0.152756086,0.143702068,0.107922312,0.087286162,0.164781961,0.085805181
AC007136.1,0,0.397043333,0.414526333,0.18739,0.140938667,0,0,0
RP11-428O23.1,0,0,0,0,0,0,0,0
RP11-382N13.5,0,0,0,0,0,0,0,0
AC010525.6,0.377756333,0.595935667,0.185360667,0.506277,0.309044667,0.301001333,0.420423333,0.480776667
RP1-200G19.1,0,0.322743,0,0,0,0,0,0
PTP4A2P1,0.454458667,0.445427667,0.592522333,0.659483,0.617385,0.4817,0.544181,0.333394667
RP11-767C4.1,0,0,0,0,0,0,0,0
CTC-512J12.4,0.152514667,0.099026,0.323204,0.138261333,0.224826333,0.059456333,8.19403E-46,0.081270667
ATP5LP7,0,0,0,0,0,0,0,0
AC002314.4,0,0,0,0,0,0,0,0
RP11-15A1.2,1.913673333,2.2412,1.684373333,1.735483333,1.510516667,1.084331333,1.339823333,1.553366667
AC006116.12,0.063681933,0.076289367,0.0715702,0,0.018987333,0.0264127,0,0.047859533
RP11-116O18.3,0.015741633,0,0,0.018775367,0.110881433,0,0.059955233,0.017322233
RP1-193H18.2,0.774089667,0.878910333,0.885201,0.908414333,1.019418,1.060832333,1.34168,0.770435333
hsa-mir-212,0,0,0,0,0,0,0,0
RP11-813F20.4,0,0,0,0,0,0,0,0
CTC-429L19.3,0.328078633,0.189706333,0.184575333,0.629097667,0.237228,0.687781,0.474944,0.411852333
