tumors	patients	mock_pseudospace	tumors	patients	tgfb_pseudospace
OV	OV.TCGA.13.1506.01A.01R.1565.13	52.7769699470167	OV	OV.TCGA.13.1506.01A.01R.1565.13	51.6053143970118
OV	OV.TCGA.13.1507.01A.01R.1565.13	69.2032543418599	OV	OV.TCGA.13.1507.01A.01R.1565.13	53.2616916156156
OV	OV.TCGA.13.1509.01A.01R.1565.13	71.1179499829258	OV	OV.TCGA.13.1509.01A.01R.1565.13	69.8444356028057
OV	OV.TCGA.13.1510.01A.02R.1565.13	60.1328932200921	OV	OV.TCGA.13.1510.01A.02R.1565.13	45.8365466137959
OV	OV.TCGA.13.1511.01A.01R.1565.13	39.2732243432589	OV	OV.TCGA.13.1511.01A.01R.1565.13	39.4646437501104
OV	OV.TCGA.13.1512.01A.01R.1565.13	55.4315185594096	OV	OV.TCGA.13.1512.01A.01R.1565.13	67.3998332133139
OV	OV.TCGA.13.2060.01A.01R.1568.13	78.2706724249466	OV	OV.TCGA.13.2060.01A.01R.1568.13	75.3196414156083
OV	OV.TCGA.13.A5FT.01A.11R.A406.31	72.8703288197144	OV	OV.TCGA.13.A5FT.01A.11R.A406.31	82.9931381940851
LUSC	LUSC.TCGA.18.3406.01A.01R.0980.07	29.5450882666052	LUSC	LUSC.TCGA.18.3406.01A.01R.0980.07	19.7600302011125
LUSC	LUSC.TCGA.18.3408.01A.01R.0980.07	40.9770140555205	LUSC	LUSC.TCGA.18.3408.01A.01R.0980.07	38.6791489217958
LUSC	LUSC.TCGA.18.3410.01A.01R.0980.07	72.902945689949	LUSC	LUSC.TCGA.18.3410.01A.01R.0980.07	83.1732576452078
LUSC	LUSC.TCGA.18.3411.01A.01R.0980.07	84.3518884660321	LUSC	LUSC.TCGA.18.3411.01A.01R.0980.07	72.618909149571
LUSC	LUSC.TCGA.18.3412.01A.01R.0980.07	47.025992222767	LUSC	LUSC.TCGA.18.3412.01A.01R.0980.07	55.3855873721068
LUSC	LUSC.TCGA.18.3414.01A.01R.0980.07	42.6545431437385	LUSC	LUSC.TCGA.18.3414.01A.01R.0980.07	63.2845175153343
LUSC	LUSC.TCGA.18.3415.01A.01R.0980.07	59.5725127432396	LUSC	LUSC.TCGA.18.3415.01A.01R.0980.07	38.9271759036865
LUSC	LUSC.TCGA.18.3416.01A.01R.0980.07	76.256984708679	LUSC	LUSC.TCGA.18.3416.01A.01R.0980.07	76.3378630143836
LUSC	LUSC.TCGA.18.3417.01A.01R.1443.07	53.8022761296221	LUSC	LUSC.TCGA.18.3417.01A.01R.1443.07	49.5972885701557
LUSC	LUSC.TCGA.18.3421.01A.01R.0980.07	68.5694839516758	LUSC	LUSC.TCGA.18.3421.01A.01R.0980.07	58.1779720679611
LUSC	LUSC.TCGA.18.4083.01A.01R.1100.07	75.6578312395048	LUSC	LUSC.TCGA.18.4083.01A.01R.1100.07	62.9271788301793
LUSC	LUSC.TCGA.18.4721.01A.01R.1443.07	54.4198919621466	LUSC	LUSC.TCGA.18.4721.01A.01R.1443.07	54.1440377646485
LUSC	LUSC.TCGA.18.5592.01A.01R.1635.07	63.9847306495742	LUSC	LUSC.TCGA.18.5592.01A.01R.1635.07	52.2758030302018
OV	OV.TCGA.20.0987.01A.02R.1564.13	46.426744474087	OV	OV.TCGA.20.0987.01A.02R.1564.13	47.2484274682211
OV	OV.TCGA.20.0991.01A.01R.1564.13	53.9014720955578	OV	OV.TCGA.20.0991.01A.01R.1564.13	46.7512362445095
OV	OV.TCGA.20.1682.01A.01R.1564.13	48.8210862533918	OV	OV.TCGA.20.1682.01A.01R.1564.13	54.7948294223414
OV	OV.TCGA.20.1683.01A.01R.1566.13	89.3157304140435	OV	OV.TCGA.20.1683.01A.01R.1566.13	91.1389197029939
OV	OV.TCGA.20.1686.01A.01R.1566.13	40.5963710905363	OV	OV.TCGA.20.1686.01A.01R.1566.13	52.6764961031522
OV	OV.TCGA.20.1687.01A.01R.1566.13	34.5914127487471	OV	OV.TCGA.20.1687.01A.01R.1566.13	23.3594730707697
LUSC	LUSC.TCGA.21.1075.01A.01R.0692.07	76.0714156094807	LUSC	LUSC.TCGA.21.1075.01A.01R.0692.07	72.5983133002221
LUSC	LUSC.TCGA.21.1080.01A.01R.0692.07	49.5485607605298	LUSC	LUSC.TCGA.21.1080.01A.01R.0692.07	56.8951222572446
LUSC	LUSC.TCGA.21.1081.01A.01R.0692.07	58.3268615696533	LUSC	LUSC.TCGA.21.1081.01A.01R.0692.07	74.9614894244021
LUSC	LUSC.TCGA.21.1082.01A.01R.0692.07	36.9882121853553	LUSC	LUSC.TCGA.21.1082.01A.01R.0692.07	37.6083088904907
LUSC	LUSC.TCGA.21.5782.01A.01R.1635.07	40.4466010483953	LUSC	LUSC.TCGA.21.5782.01A.01R.1635.07	35.0756036050407
LUSC	LUSC.TCGA.21.5783.01A.41R.2187.07	69.4919616784156	LUSC	LUSC.TCGA.21.5783.01A.41R.2187.07	71.3156014565437
LUSC	LUSC.TCGA.21.5786.01A.01R.1635.07	61.8397656333727	LUSC	LUSC.TCGA.21.5786.01A.01R.1635.07	66.8010841744028
LUSC	LUSC.TCGA.21.5787.01A.01R.1635.07	73.3243452801978	LUSC	LUSC.TCGA.21.5787.01A.01R.1635.07	79.2902105971584
LUSC	LUSC.TCGA.22.0940.01A.01R.0692.07	74.7720568085938	LUSC	LUSC.TCGA.22.0940.01A.01R.0692.07	67.6776089649038
LUSC	LUSC.TCGA.22.0944.01A.01R.0692.07	50.1004017388082	LUSC	LUSC.TCGA.22.0944.01A.01R.0692.07	50.7054448855048
LUSC	LUSC.TCGA.22.1002.01A.01R.0692.07	54.3353521839382	LUSC	LUSC.TCGA.22.1002.01A.01R.0692.07	36.1942420963515
LUSC	LUSC.TCGA.22.1011.01A.01R.0692.07	50.1982290272816	LUSC	LUSC.TCGA.22.1011.01A.01R.0692.07	36.5680968093933
LUSC	LUSC.TCGA.22.1012.01A.01R.0692.07	45.380990881149	LUSC	LUSC.TCGA.22.1012.01A.01R.0692.07	60.9805531097629
LUSC	LUSC.TCGA.22.1016.01A.01R.0692.07	52.7727129449752	LUSC	LUSC.TCGA.22.1016.01A.01R.0692.07	47.6916248346016
LUSC	LUSC.TCGA.22.4591.01A.01R.1201.07	85.5324648761133	LUSC	LUSC.TCGA.22.4591.01A.01R.1201.07	90.192451751469
LUSC	LUSC.TCGA.22.4593.01A.21R.1820.07	93.8960102125906	LUSC	LUSC.TCGA.22.4593.01A.21R.1820.07	66.6085554457159
LUSC	LUSC.TCGA.22.4595.01A.01R.1201.07	57.2041337405156	LUSC	LUSC.TCGA.22.4595.01A.01R.1201.07	78.0175481280574
LUSC	LUSC.TCGA.22.4596.01A.01R.1201.07	57.9195263151016	LUSC	LUSC.TCGA.22.4596.01A.01R.1201.07	41.9333381684596
LUSC	LUSC.TCGA.22.4599.01A.01R.1443.07	59.9703084853531	LUSC	LUSC.TCGA.22.4599.01A.01R.1443.07	54.3498980915108
LUSC	LUSC.TCGA.22.4601.01A.01R.1443.07	26.1306458622178	LUSC	LUSC.TCGA.22.4601.01A.01R.1443.07	18.5984718886749
LUSC	LUSC.TCGA.22.4604.01A.01R.1201.07	52.325746143339	LUSC	LUSC.TCGA.22.4604.01A.01R.1201.07	64.088317338576
LUSC	LUSC.TCGA.22.4607.01A.01R.1201.07	70.521436205048	LUSC	LUSC.TCGA.22.4607.01A.01R.1201.07	72.7731870726183
LUSC	LUSC.TCGA.22.4609.01A.21R.2125.07	36.1851720828059	LUSC	LUSC.TCGA.22.4609.01A.21R.2125.07	34.6206898576924
LUSC	LUSC.TCGA.22.4613.01A.01R.1443.07	46.4951510779955	LUSC	LUSC.TCGA.22.4613.01A.01R.1443.07	52.4718804919042
LUSC	LUSC.TCGA.22.5471.01A.01R.1635.07	69.612845355522	LUSC	LUSC.TCGA.22.5471.01A.01R.1635.07	69.3847629227023
LUSC	LUSC.TCGA.22.5472.01A.01R.1635.07	33.080207540889	LUSC	LUSC.TCGA.22.5472.01A.01R.1635.07	25.5136211208069
LUSC	LUSC.TCGA.22.5473.01A.01R.1635.07	82.3911540996679	LUSC	LUSC.TCGA.22.5473.01A.01R.1635.07	74.5261260919622
LUSC	LUSC.TCGA.22.5474.01A.01R.1635.07	76.3232422140682	LUSC	LUSC.TCGA.22.5474.01A.01R.1635.07	74.095148133289
LUSC	LUSC.TCGA.22.5477.01A.01R.1635.07	89.6767799527731	LUSC	LUSC.TCGA.22.5477.01A.01R.1635.07	88.8353960913161
LUSC	LUSC.TCGA.22.5478.01A.01R.1635.07	77.9904553924339	LUSC	LUSC.TCGA.22.5478.01A.01R.1635.07	65.3636540927012
LUSC	LUSC.TCGA.22.5480.01A.01R.1635.07	74.0948698046483	LUSC	LUSC.TCGA.22.5480.01A.01R.1635.07	69.8695831385223
LUSC	LUSC.TCGA.22.5481.01A.31R.1949.07	80.627500600959	LUSC	LUSC.TCGA.22.5481.01A.31R.1949.07	86.0980582297448
LUSC	LUSC.TCGA.22.5482.01A.01R.1635.07	47.5026933669276	LUSC	LUSC.TCGA.22.5482.01A.01R.1635.07	45.2571401425406
LUSC	LUSC.TCGA.22.5483.01A.01R.1820.07	93.9456903240207	LUSC	LUSC.TCGA.22.5483.01A.01R.1820.07	89.7068190944353
LUSC	LUSC.TCGA.22.5485.01A.01R.1635.07	85.2961215210973	LUSC	LUSC.TCGA.22.5485.01A.01R.1635.07	77.7057878978392
LUSC	LUSC.TCGA.22.5489.01A.01R.1635.07	81.4861654336324	LUSC	LUSC.TCGA.22.5489.01A.01R.1635.07	71.1705083390897
LUSC	LUSC.TCGA.22.5491.01A.01R.1635.07	38.3242586448342	LUSC	LUSC.TCGA.22.5491.01A.01R.1635.07	36.5113407486394
LUSC	LUSC.TCGA.22.5492.01A.01R.1635.07	67.3149507942867	LUSC	LUSC.TCGA.22.5492.01A.01R.1635.07	70.7821170788828
LUSC	LUSC.TCGA.22.A5C4.01A.12R.A27Q.07	63.548796212986	LUSC	LUSC.TCGA.22.A5C4.01A.12R.A27Q.07	76.4583413485079
OV	OV.TCGA.23.1021.01B.01R.1564.13	39.5916957810146	OV	OV.TCGA.23.1021.01B.01R.1564.13	35.1671319548345
OV	OV.TCGA.23.1022.01A.01R.1564.13	39.4271453248667	OV	OV.TCGA.23.1022.01A.01R.1564.13	38.1093992033647
OV	OV.TCGA.23.1027.01A.02R.1564.13	75.6578377660237	OV	OV.TCGA.23.1027.01A.02R.1564.13	65.9702371358874
OV	OV.TCGA.23.1029.01B.01R.1567.13	55.1972757794819	OV	OV.TCGA.23.1029.01B.01R.1567.13	43.3478875739544
OV	OV.TCGA.23.1030.01A.02R.1564.13	40.1300023081353	OV	OV.TCGA.23.1030.01A.02R.1564.13	32.8118685027369
OV	OV.TCGA.23.1110.01A.01R.1564.13	52.5622150526497	OV	OV.TCGA.23.1110.01A.01R.1564.13	49.4103593534289
OV	OV.TCGA.23.1111.01A.01R.1567.13	59.402326217314	OV	OV.TCGA.23.1111.01A.01R.1567.13	37.4202521690241
OV	OV.TCGA.23.1113.01A.01R.1564.13	40.0410260927207	OV	OV.TCGA.23.1113.01A.01R.1564.13	43.4497198000716
OV	OV.TCGA.23.1114.01B.01R.1566.13	63.2160827116943	OV	OV.TCGA.23.1114.01B.01R.1566.13	60.5459138350433
OV	OV.TCGA.23.1116.01A.01R.1564.13	52.7955160387664	OV	OV.TCGA.23.1116.01A.01R.1564.13	45.794182997797
OV	OV.TCGA.23.1118.01A.01R.1564.13	67.2621016312758	OV	OV.TCGA.23.1118.01A.01R.1564.13	63.2141492934313
OV	OV.TCGA.23.1123.01A.01R.1565.13	71.7133345479805	OV	OV.TCGA.23.1123.01A.01R.1565.13	67.1545793903299
OV	OV.TCGA.23.1809.01A.01R.1566.13	81.1498110435076	OV	OV.TCGA.23.1809.01A.01R.1566.13	81.9774040632789
OV	OV.TCGA.23.2077.01A.01R.1568.13	60.5561568099727	OV	OV.TCGA.23.2077.01A.01R.1568.13	43.85644139643
OV	OV.TCGA.23.2078.01A.01R.1568.13	66.5106918869254	OV	OV.TCGA.23.2078.01A.01R.1568.13	74.8901126487122
OV	OV.TCGA.23.2084.01A.02R.1568.13	80.9340465366783	OV	OV.TCGA.23.2084.01A.02R.1568.13	75.4978368354731
OV	OV.TCGA.24.0970.01B.01R.1565.13	64.0439689300149	OV	OV.TCGA.24.0970.01B.01R.1565.13	75.9519932553711
OV	OV.TCGA.24.0982.01A.01R.1565.13	49.8523074778469	OV	OV.TCGA.24.0982.01A.01R.1565.13	52.1081178180459
OV	OV.TCGA.24.1103.01A.01R.1565.13	49.1229478717825	OV	OV.TCGA.24.1103.01A.01R.1565.13	45.273182525486
OV	OV.TCGA.24.1104.01A.01R.1565.13	37.3887974213087	OV	OV.TCGA.24.1104.01A.01R.1565.13	35.7492203791447
OV	OV.TCGA.24.1413.01A.01R.1565.13	43.4251664364888	OV	OV.TCGA.24.1413.01A.01R.1565.13	31.730055650131
OV	OV.TCGA.24.1416.01A.01R.1565.13	40.2760995491677	OV	OV.TCGA.24.1416.01A.01R.1565.13	34.1466575068266
OV	OV.TCGA.24.1417.01A.01R.1565.13	58.2556351907949	OV	OV.TCGA.24.1417.01A.01R.1565.13	48.7232671036337
OV	OV.TCGA.24.1418.01A.01R.1565.13	52.3130552986965	OV	OV.TCGA.24.1418.01A.01R.1565.13	59.1037199069158
OV	OV.TCGA.24.1419.01A.01R.1565.13	76.8188661202219	OV	OV.TCGA.24.1419.01A.01R.1565.13	74.857628810013
OV	OV.TCGA.24.1422.01A.01R.1565.13	61.0361128117184	OV	OV.TCGA.24.1422.01A.01R.1565.13	46.7027235150453
OV	OV.TCGA.24.1423.01A.01R.1565.13	44.1624585119461	OV	OV.TCGA.24.1423.01A.01R.1565.13	30.1419790758794
OV	OV.TCGA.24.1424.01A.01R.1565.13	65.4297400883107	OV	OV.TCGA.24.1424.01A.01R.1565.13	80.338953079494
OV	OV.TCGA.24.1425.01A.02R.1566.13	59.973907404851	OV	OV.TCGA.24.1425.01A.02R.1566.13	51.9735317661397
OV	OV.TCGA.24.1426.01A.01R.1565.13	40.453643914363	OV	OV.TCGA.24.1426.01A.01R.1565.13	37.6265215834835
OV	OV.TCGA.24.1427.01A.01R.1565.13	46.5508220942598	OV	OV.TCGA.24.1427.01A.01R.1565.13	46.6908431352287
OV	OV.TCGA.24.1428.01A.01R.1564.13	85.4123434853735	OV	OV.TCGA.24.1428.01A.01R.1564.13	81.444504492668
OV	OV.TCGA.24.1430.01A.01R.1566.13	58.1421373521694	OV	OV.TCGA.24.1430.01A.01R.1566.13	42.2526389264311
OV	OV.TCGA.24.1431.01A.01R.1566.13	44.7691678665595	OV	OV.TCGA.24.1431.01A.01R.1566.13	40.3570547456083
OV	OV.TCGA.24.1434.01A.01R.1566.13	62.6411178752998	OV	OV.TCGA.24.1434.01A.01R.1566.13	51.9227197004506
OV	OV.TCGA.24.1435.01A.01R.1566.13	58.8134676182357	OV	OV.TCGA.24.1435.01A.01R.1566.13	60.5110510250128
