ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000110987.8	478	402	357	73	68	83	65	58	57	135	173	169	207	241	192	119	107	136
ENSG00000111011.17	2778	1664	1715	243	268	407	1570	1284	1019	191	212	191	935	1050	868	513	448	413
ENSG00000111012.9	30	21	27	9	15	16	8	14	7	18	9	14	23	20	30	25	30	22
ENSG00000111046.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111049.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111052.7	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0
ENSG00000111057.10	3283	2416	2455	1569	1872	2408	1733	1858	1436	4157	5126	4751	2583	3021	2756	1399	1300	1293
ENSG00000111058.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111077.17	114	85	87	44	58	72	21	25	23	117	140	90	85	127	137	62	84	76
ENSG00000111087.9	3	1	1	0	1	0	3	1	2	2	4	2	4	4	1	5	3	1
ENSG00000111110.11	15	8	10	2	0	1	0	4	4	1	4	0	2	0	0	0	0	0
ENSG00000111142.13	1441	1026	1093	88	109	158	672	660	497	122	141	147	595	623	645	399	351	315
ENSG00000111144.9	2253	1554	1472	191	193	315	1087	944	728	451	494	415	1185	1337	1192	534	519	463
ENSG00000111145.7	432	294	285	139	140	225	548	613	493	68	72	55	928	1146	950	809	684	671
ENSG00000111181.12	2	1	2	0	2	0	0	0	0	4	2	0	1	0	1	0	3	6
ENSG00000111186.12	3	1	2	27	30	49	52	43	28	0	0	0	27	37	29	176	152	116
ENSG00000111196.9	203	141	170	47	33	44	117	109	100	31	49	54	107	142	125	108	110	92
ENSG00000111199.10	70	52	51	11	14	10	5	13	8	51	52	33	20	28	36	23	14	28
ENSG00000111203.11	139	94	104	49	51	70	79	103	58	138	136	111	104	140	132	144	115	104
ENSG00000111206.12	1074	812	732	229	235	360	68	79	59	617	673	484	649	767	632	79	87	95
ENSG00000111215.11	28	18	16	4	5	9	20	9	11	5	7	11	26	27	20	20	18	15
ENSG00000111218.11	0	2	0	0	0	0	0	0	0	1	0	0	1	4	1	0	1	0
ENSG00000111224.13	118	94	102	28	23	43	111	74	79	14	13	23	97	119	64	88	80	64
ENSG00000111229.15	1623	1205	1222	545	585	746	3185	3157	2315	385	422	469	1717	2072	1902	1616	1261	1275
ENSG00000111231.8	326	234	284	48	53	98	244	244	203	64	69	67	156	189	170	125	100	92
ENSG00000111237.18	647	393	414	204	183	276	774	579	479	147	170	148	384	451	460	321	235	214
