patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
X25890	68.6878658503376	outer	0.567015191279843	52.2072078896166	inner	0.58067366150682
X26052	57.3859323365934	neutral	0.441790215236459	47.3351432473705	outer	0.501474369849851
X25981	61.598714741673	outer	0.542064436480126	46.7012074111945	inner	0.570352434046622
X26051	64.3153752621519	outer	0.522858718405128	51.6751814227785	inner	0.539119194964936
X25964	57.2577479908816	outer	0.595332040404256	46.136133235288	outer	0.617669695872267
X25982	69.7422459246991	outer	0.57285763975144	46.7146545587681	inner	0.580513041276736
X26851	56.6426732387861	inner	0.572143844124735	45.9617827733305	outer	0.590506084468788
X25902	64.8255079740005	inner	0.58614317951982	63.7941255324807	inner	0.584170459205169
X25984	55.1437557682785	outer	0.309000246745813	37.1116707607802	neutral	0.343421034630652
X14891	55.8063813211925	inner	0.451275229725676	43.5242536456536	inner	0.488275747238329
X11004	60.2139840490683	outer	0.436630331739483	51.3983477782689	outer	0.480302499946311
X25989	62.2533889580615	inner	0.623649243632645	50.0935643193908	outer	0.593992775477103
X25976	30.007410357672	outer	0.553384157838531	31.2859731185841	inner	0.57953603535251
X25958	53.2881260152496	outer	0.574071023922186	37.0751190679408	inner	0.589281477414894
X25977	88.8938159546859	outer	0.564407751328347	94.9923560880965	outer	0.559754580312776
X25962	59.4430688252407	neutral	0.550812092846788	35.6935913082228	inner	0.553984234211137
X26239	33.0497289007443	inner	0.0925126917349366	41.1653196152771	inner	0.135100498129731
X25959	64.6793002169062	inner	0.542397830759533	59.928522557024	outer	0.536775575098084
X25960	53.0384799518171	neutral	0.444656267583004	41.1208677303139	inner	0.490613576793065
X25961	63.6508492567046	outer	0.584799529820535	48.8373366411062	inner	0.596340224371748
X26016	34.8843182037174	inner	0.584499230433315	55.0003836260563	outer	0.597651068021035
X15122	55.925865275676	neutral	0.557069860634525	43.6704145555577	neutral	0.579903953832852
X25990	75.1923208079461	inner	0.592454189372793	68.4378342966206	inner	0.601324401280187
X26125	63.2703910458761	outer	0.511780340254538	50.4572492096203	outer	0.53163183825451
X26017	60.8776939798588	outer	0.480178128535908	50.8286313693998	outer	0.521237112469147
X26123	41.9096829371309	inner	0.494784619000338	71.694076879723	inner	0.536872014516428
X25991	74.1608489395815	outer	0.559064538901712	60.2128604644759	outer	0.556744968759534
X26266	60.2256007007812	inner	0.597870737309797	35.6869439441492	inner	0.60118952479956
X30811	58.7873945945435	neutral	0.525759703945352	42.7635197084173	inner	0.548350014162247
X26124	67.0921323810596	outer	0.510732811411452	65.3679775690685	inner	0.546643402976515
X26376	66.836774097943	neutral	0.570645657137635	45.6614575448169	inner	0.568773697474185
X26416	65.0052108413499	inner	0.590792536056199	63.5280038602173	neutral	0.585711540965602
X15227	79.3800063077551	outer	0.554298296258865	78.1643302093158	outer	0.564697234656298
X26409	64.291083747499	neutral	0.495613118767105	57.8703139145175	outer	0.524355739345906
X27028	86.0530378812734	outer	0.594452915306802	69.1540286257135	outer	0.5751429811853
X26850	53.9261075598347	inner	0.588904568123261	46.6653197389896	neutral	0.596902461302946
X26465	60.4578790219155	inner	0.578054762477189	47.4279761949188	outer	0.602049329144798
X27217	56.5673530174021	inner	0.334502810832824	62.7673635293733	outer	0.394520329657273
X27177	72.9363601302165	outer	0.610371192662374	61.0906152981214	outer	0.595208028218791
X27025	57.0529291048757	inner	0.335130594284173	45.7870080796866	neutral	0.333663494664803
X26825	55.1662773938821	neutral	0.612469359034741	37.3829336879528	neutral	0.619660948213587
X26852	74.4371323076994	outer	0.613884857502176	59.2435862799855	outer	0.615129194855223
X27026	43.6837519630947	outer	0.392605162617317	46.7545632573192	outer	0.415963663721996
X15148	38.6673690458531	inner	0.471552000491946	42.6993922855389	inner	0.52169899963712
X27338	59.146328158882	inner	0.527374018920105	47.647832872251	inner	0.546761461295691
X27178	73.291030067705	neutral	0.517112913773166	63.9652859014757	inner	0.535925260730454
X27034	70.034216671292	outer	0.606524853549282	45.6432180831392	inner	0.619547143028851
X27078	46.8096476732496	inner	0.441741764454949	43.2833162714026	inner	0.485842094283625
X27036	68.2037887009132	neutral	0.571758977519212	52.1932257187293	outer	0.576611660425349
X27037	79.9818101894522	inner	0.592361024762683	84.1384662396336	neutral	0.589072641774495
X27329	86.2048587349293	outer	0.612132752849658	81.9076304816401	outer	0.613669028484607
X27090	65.7655606802947	outer	0.578705115571261	50.9929474060539	outer	0.591599297002679
X27216	56.953251213487	inner	0.541153883241462	46.6756381368414	inner	0.534922625447437
X27388	89.56114918564	outer	0.610254859652697	81.4398224793558	neutral	0.625060761379297
X15123	56.2736778323783	neutral	0.421138532450219	49.0956327255466	neutral	0.466603560710749
X27228	90.4259012509919	inner	0.627165228763656	89.1625472407742	inner	0.630084033847049
X27219	56.9998843742581	outer	0.539951943564907	42.5160326181254	inner	0.564528261343941
X27339	66.5582362029406	outer	0.545654670741862	43.2808485442701	inner	0.565707848419074
X27545	91.0808557334955	outer	0.602699947493491	77.7274860275443	inner	0.598722263482229
X27327	59.4378470632507	inner	0.618065806423698	44.2656762926596	inner	0.618962093729383
X27328	57.1992067954295	outer	0.515635364898665	40.4420708477137	inner	0.55186586606493
X27697	50.1472894127736	inner	0.292063437326692	45.7921994446728	neutral	0.358715254068173
X27722	80.9353544506707	outer	0.575776513521068	52.5825440041707	inner	0.545539545722698
X28392	50.9248640780661	inner	0.57027938576941	35.7365571592962	inner	0.595042725804288
X27519	68.5056771510256	outer	0.559702148084153	53.502532695726	outer	0.580166014829253
X15268	63.9372473035784	outer	0.520503887997571	41.8130719742164	inner	0.558152056190233
X28123	57.8976520885122	outer	0.484474243648888	39.252777203124	inner	0.506817692908055
X27502	56.0669644234045	neutral	0.522163430324706	72.1181606345494	inner	0.549649294113606
