gdsc_ID	all_pseudotime	emt_score
FLO-1	6.06577694006613	-0.319429204154399
FTC-133	10.5979501469608	1.56801380265862
FU-OV-1	10.134937652598	0.564038946806735
FU97	12.6632952114008	-0.700373451487178
G-361	12.0972139296365	1.08437911038254
G-401	11.7085843924312	0.278711903737855
G-402	9.03917059945426	1.2437781425097
G-MEL	14.4926538528107	1.5929943183634
GAK	13.0344021996087	1.23140451967006
GCIY	12.5511649616826	-1.43183193048575
GCT	10.3305341899214	2.55026190579927
GP5d	13.0246361410706	-1.69402791290707
GT3TKB	10.8865402696016	0.610124130050049
H2369	11.1650783979426	1.48880965490537
H2373	13.2078576713344	1.77726150134362
H2461	13.5521987247983	1.49330841126713
H2591	11.8064965745973	0.95832565252961
H2595	4.93429634123095	1.00014575847731
H2722	13.6906822002735	1.49506691045339
