TCGAlong.id	cancer.type	sample.type	mRNAsi	EREG-mRNAsi
TCGA-08-0386-01A-01R-1849-01	GBM	1	0.325904172	0.520632599
TCGA-09-0364-01A-02R-1564-13	OV	1	0.501752681	0.534731271
TCGA-09-0366-01A-01R-1564-13	OV	1	0.343110221	0.290292157
TCGA-09-0367-01A-01R-1564-13	OV	1	0.444803775	0.457126193
TCGA-09-0369-01A-01R-1564-13	OV	1	0.388249562	0.618775304
TCGA-09-1659-01B-01R-1564-13	OV	1	0.408904159	0.382849114
TCGA-09-1662-01A-01R-1566-13	OV	1	0.462159578	0.692497716
TCGA-09-1666-01A-01R-1566-13	OV	1	0.450059995	0.477769433
TCGA-09-1667-01C-01R-1566-13	OV	1	0.461884372	0.566564305
TCGA-09-1668-01B-01R-1566-13	OV	1	0.383788649	0.667248332
TCGA-09-1669-01A-01R-1566-13	OV	1	0.458884611	0.661002305
TCGA-09-1670-01A-01R-1566-13	OV	1	0.49039605	0.454907527
TCGA-09-1673-01A-01R-1566-13	OV	1	0.39622699	0.633244864
TCGA-09-1674-01A-01R-1566-13	OV	1	0.472308575	0.583517807
TCGA-09-2044-01B-01R-1568-13	OV	1	0.541416312	0.694595802
TCGA-09-2045-01A-01R-1568-13	OV	1	0.358061755	0.485800039
TCGA-09-2048-01A-01R-1568-13	OV	1	0.451507261	0.620318723
TCGA-09-2051-01A-01R-1568-13	OV	1	0.512094017	0.533477242
TCGA-09-2054-01A-01R-1568-13	OV	1	0.316840412	0.346168777
TCGA-10-0928-01A-02R-1564-13	OV	1	0.474146485	0.83876086
TCGA-10-0936-01A-01R-1564-13	OV	1	0.467438267	0.349183269
TCGA-12-0616-01A-01R-1849-01	GBM	1	0.360811538	0.623545574
TCGA-12-0618-01A-01R-1849-01	GBM	1	0.326286761	0.483287313
TCGA-12-0619-01A-01R-1849-01	GBM	1	0.260668092	0.470929385
TCGA-12-0821-01A-01R-1849-01	GBM	1	0.305004077	0.399015273
TCGA-12-1597-01B-01R-1849-01	GBM	1	0.340443038	0.585711082
TCGA-12-3650-01A-01R-1849-01	GBM	1	0.374260214	0.50511391
TCGA-12-3652-01A-01R-1849-01	GBM	1	0.33941037	0.545485592
TCGA-12-3653-01A-01R-1849-01	GBM	1	0.373503932	0.480215636
TCGA-12-5295-01A-01R-1849-01	GBM	1	0.370729662	0.63940423
TCGA-12-5299-01A-02R-1849-01	GBM	1	0.300636255	0.605148579
TCGA-13-0730-01A-01R-1564-13	OV	1	0.368925332	0.563115726
TCGA-13-0799-01A-01R-1564-13	OV	1	0.608954446	0.449167935
TCGA-13-0800-01A-01R-1564-13	OV	1	0.456685393	0.568975898
TCGA-13-0801-01A-01R-1564-13	OV	1	0.529017714	0.578260533
TCGA-13-0890-01A-01R-1564-13	OV	1	0.364122129	0.652947583
TCGA-13-0893-01B-01R-1565-13	OV	1	0.469915787	0.534031909
TCGA-13-0897-01A-01R-1564-13	OV	1	0.413506633	0.677690532
TCGA-13-0899-01A-01R-1564-13	OV	1	0.379943941	0.45833199
TCGA-13-0913-01A-01R-1564-13	OV	1	0.466753459	0.695656904
TCGA-13-0916-01A-01R-1564-13	OV	1	0.509240053	0.728333995
TCGA-13-0920-01A-01R-1564-13	OV	1	0.50840299	0.742055962
TCGA-13-0924-01A-01R-1564-13	OV	1	0.46651642	0.629289851
TCGA-13-1403-01A-01R-1565-13	OV	1	0.368974719	0.436241794
TCGA-13-1405-01A-01R-1565-13	OV	1	0.332303197	0.472656855
TCGA-13-1410-01A-01R-1565-13	OV	1	0.424389987	0.495422297
TCGA-13-1411-01A-01R-1565-13	NA	1	0.322332343	0.614796174
TCGA-13-1481-01A-01R-1565-13	OV	1	0.321480975	0.562971031
TCGA-13-1489-02A-01R-1565-13	OV	2	0.503411546	0.633920111
TCGA-13-1497-01A-01R-1565-13	OV	1	0.460553485	0.55805138
TCGA-13-1498-01A-01R-1565-13	OV	1	0.438670929	0.556869699
TCGA-13-1505-01A-01R-1565-13	OV	1	0.345893229	0.380075782
TCGA-13-1506-01A-01R-1565-13	OV	1	0.586455809	0.503187628
TCGA-13-1507-01A-01R-1565-13	OV	1	0.39980173	0.653912221
TCGA-13-1511-01A-01R-1565-13	OV	1	0.390608935	0.602376468
TCGA-13-1512-01A-01R-1565-13	OV	1	0.449416392	0.865939519
TCGA-13-2060-01A-01R-1568-13	OV	1	0.512707776	0.497062181
TCGA-13-A5FT-01A-11R-A406-31	OV	1	0.549734624	0.613952117
TCGA-14-0736-02A-01R-2005-01	GBM	2	0.290179231	0.551968693
TCGA-14-0781-01B-01R-1849-01	GBM	1	0.144215619	0.376261763
TCGA-14-0787-01A-01R-1849-01	GBM	1	0.314190559	0.567660255
TCGA-14-0789-01A-01R-1849-01	GBM	1	0.190038403	0.392467761
TCGA-14-0790-01B-01R-1849-01	GBM	1	0.341123525	0.509439775
TCGA-14-0817-01A-01R-1849-01	GBM	1	0.331724839	0.637496795
TCGA-14-0871-01A-01R-1849-01	GBM	1	0.385304944	0.609570236
TCGA-14-1034-01A-01R-1849-01	GBM	1	0.300397357	0.566659441
TCGA-14-1034-02B-01R-2005-01	GBM	2	0.389707405	0.547800728
TCGA-14-1402-02A-01R-2005-01	GBM	2	0.320176503	0.571757348
TCGA-14-1823-01A-01R-1849-01	GBM	1	0.310961082	0.434889612
TCGA-14-1825-01A-01R-1850-01	GBM	1	0.413386022	0.572085541
TCGA-14-1829-01A-01R-1850-01	GBM	1	0.344910137	0.698545989
TCGA-14-2554-01A-01R-1850-01	GBM	1	0.290474717	0.496638632
TCGA-15-0742-01A-01R-1850-01	GBM	1	0.341140532	0.445690261
TCGA-15-1444-01A-02R-1850-01	GBM	1	0.310311427	0.544507506
